"Les couts kilometriques reels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilise du taux doccupation ou du taux de remplissage de linfrastructure utilisee de la topographie des lignes du flux de trafic etc","C1"
"Le bleu cest ma couleur preferee mais je naime pas le vert","A1"
"Le test de niveau en francais est sur le site Internet de lecole","A1"
"Estce que ton mari est aussi de Boston","A1"
"Dans les ecoles de commerce dans les couloirs de places financieres il arrive aujourdhui de croiser de jeunes adultes de 20 ou 25 ans qui prevoient douvrir une maison dhotes dans une quinzaine dannees","B1"
"voila une autre histoire que jai beaucoup aimee","A2"
"Les medecins disent souvent quon doit boire un verre de vin rouge apres les repas","A2"
"Il est particulierement observe chez les personnes ayant un besoin de popularite developpe qui considerent des lors le moindre signal du smartphone comme un possible indicateur de leur degre de popularite","B2"
"Jai retrouve le plaisir de manger un oeuf a la coque","A2"
"Nous allons bien nous habitons dans une petite maison ancienne avec un tres beau jardin","B1"
"Bonjour et bonne annee","A1"
"La presse sest abondamment fait lecho des effets secondaires ressentis par les soignants de moins de 65 ans","B2"
"Pour que le rocher souvre il faut le toucher avec un brin dherbe","B1"
"Jhabite une belle ville dans le nord de la France","A1"
"Certes il doit repondre aux gouts du consommateur mais aussi aux capacites de son portemonnaie","B2"
"Ma timidite me quittait des que je meloignais dEllenore  je reprenais alors mes plans habiles et mes profondes combinaisons  mais a peine me retrouvaisje aupres delle que je me sentais de nouveau tremblant et trouble","C2"
"Je pense que frequenter les galeries est la meilleure maniere deduquer son oeil a lart contemporain","B2"
"Le soir je me cuche tot parce que je dois etre toujours en bonne forme","A1"
"La mere de Raphael et de Vanessa exprime sa satisfaction  depuis que ses enfants possedent un portable ca a libere ma ligne declaretelle","B2"
"Je ne fais pas grandchose a la maison","A2"
"Elle ajoute quune interdiction totale est impossible a gerer","B2"
"Sans plus dhesitation il tourna vers la gauche  son pas sonnait sur la terre durcie et ce bruit cadence monotone assoupissait en le bercant le tumulte de son esprit","C2"
"Comme le signale lexpression lingua franca le francais a ete pendant tres longtemps la langue internationale eu egard a notre rayonnement politique aussi bien que culturel","C2"
"Je ne tai pas telephone parce que jai eu trop de travail","B1"
"Cest peutetre ca que vous cherchez ","A2"
"Questce qui peut bien poser probleme dans ces petits livrets pourtant plutot attractifs pour que seuls 23 4  de leurs detenteurs arrivent au bout ","C2"
"Je consulte dhabitude ma messagerie Et puis je prends un cafe","A1"
"Nous sommes en train de diner","A2"
"En fait je trouve que leducation est une bonne chose","B1"
"Astu besoin de quelque chose","A1"
"Perpetuel clandestin cest muni dun faux titre de sejour photocopie de la carte de resident dun copaincomplice quil avait ensuite sillonne lHexagone au bon vouloir demployeurs peu scrupuleux","C1"
"Le mariage mixte apparait comme le lieu privilegie ou les cultures saffrontent dialoguent et se fondent","B2"
"Assis en terrasse dans le quartier touristique du Vieux Lyon James sirote une limonade bien fraiche","B2"
"La chronologie antique ne prend sens que sur un large pourtour de la Mediterranee de meme que ce decoupage spatial nest pertinent comme entite geographique que durant cette periode pendant laquelle la mer interieure nest pas vecue comme une limite","C2"
"En voici un des moins obscurs  Plus nous devenons maitres de la biosphere plus nous en devenons dependants  plus nous la degradons plus nous degradons nos vies5","C2"
